id	title	created	idea	author	votes	votes_for	votes_against	comment_count	link	errors
2757-4049	Partnering made easy - Lessons from the Design and Construction Industry	2009-05-21 00:00:00	The design and construction industry, including the Corps of Engineers, have been utilizing a process called "Partnering" for over 20 years.<br /><br />The Partnering process begins with a workshop that brings together the three key stakeholder groups involved in a typical construction project: the Owner, the Contractor, and the Architect or Engineer. The workshop sets the stage for the working relationship by developing the project mission and goals, team values, understanding expectations, discussing communication, roles, and responsibilities, problem solving processes, and addressing any "rocks in the road."<br /><br />The Partnering work continues throughout the life of the project as a proactive way to address issues before they get too big, assess how well the team is working together, and how well the project is meeting its mission and goals.<br /><br />A third party facilitates the initial workshop, and may assist at follow-up workshops, but the process is "owned" by the project team Partnering Champion(s).<br /><br />I have participated in as well as facilitated over 80 Partnering workshops, and can attest to the validity of the process.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>There is proven technology (Partnering) that can be utilized whenever disparate parties with common goals but potentially conflicting interests come together to do something, solve problems, address issues, or create something together.</div><br />	carol	21	25	4	4	http://opengov.ideascale.com/akira/dtd/2757-4049	
2758-4049	Use existing library networks to implement increased transparency and promotion of greater use of information	2009-05-21 00:00:00	Agencies' implementation of increased transparency and promotion of greater use of information should include strategic and aggressive use of existing library networks, including the Federal Depository Library Program (FDLP). An important aspect of any effort to increase government transparency is to make sure the public is aware of and able to use the new information. For this, libraries across the nation - public, academic, legal, research, and many others - are perfectly positioned to help notify and explain the new access to the public. Many Americans look to libraries for assistance in finding or understanding information, especially for those members of the public with no or limited Internet access. Libraries provide a broad range of E-Government services and resources but these have not as yet been successfully coordinated with the various Federal agencies. Librarians, as managers of information, can be among the most knowledgeable and effective advocates. Greater public participation in government and expanded use of government information are the true goals of increased transparency, and the federal government should develop a clear plan to use libraries in completing that process to achieve those goals.<br /><br />The president should direct heads of agencies to coordinate E-Government and other programs of information dissemination with libraries in general and with the FDLP more specifically. This program, created by Congress and administered by the Government Printing Office, provides no-fee permanent public access to a broad range of government information. The president should direct agencies to insure that their government information products are included in the FDLP and thus public access assured.<br /><br />- From the 21st Century RTK Agenda<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div></div><br />	21stCenturyRTK	64	69	5	1	http://opengov.ideascale.com/akira/dtd/2758-4049	
2759-4049	Measure the relationship between features of collaboration and outcomes for all evidence based programs	2009-05-21 00:00:00	While there is now a mandate that many, if not most, federal and state initiatives use collaboration as both a method of governance and as a mode of decision-making, there is little empirical evidence documenting the influence of collaboration on concrete program outcomes. In fact, several reviews in the public health arena have found that fewer than 20% of all collaborative initiatives produce outcomes that equal or better than those initiatives carried out by a single agency. <br /><br />This does not mean that we should abandon collaboration. But it does mean that we must get much more precise about what makes for successful collaboration. Two known features of highly successful collaboratives are the presence of an open and credible process and the presence of leadership oriented towards fostering and securing that process. An open and credible process has five critical features: 1) It includes all relevant stakeholders (but does not over-include by inviting participants who may represent an important sector but who do not work directly in agencies or with communities directly relevant to the initiative). 2) All stakeholders are treated equally (measured not in formal avenues for participation, but the degree of influence each member perceives he or she has). 3) The process is perceived by stakeholders as authentic (measured by the perception that the process can issue binding decisions and is not a legitimation ritual to satisfy some mandated ideal). 4) It focuses on the root problem. 5) It can be revised when the application of some norm, no matter how well-intentioned, produces unwelcome effects on the process. <br /><br />We need to develop better instruments for measuring these qualities and, more importantly, we need to develop sophisticated modeling techniques that can identify just how these features are related, or not, to concrete program outcomes. These outcomes should be focus on the ability of the program to reach and retain those it serves, that it is delivered with fidelity, and that it produces demonstrable improvements in well-being. Research starting to do this has been published recently (Evaluation Review, Oct 2008). Along with the Presidentâ&euro;&trade;s commitment to funding evidence-based health and education initiatives, there should be an equally strong commitment to making sure that we know if collaboration has any demonstrable effect on how these programs perform, and just what features of collaboration are associated with these outcomes. <br /><br /><br /><br />Why Is This Idea Important?<br /><br /><div>Millions of federal dollars are scheduled to be spent on the nationwide dissemination of evidence based programs. These will be implemented by multi-agency collaboratives and public-private partnerships. We need more and better evidence that this collaborative strategy will be effective.</div><br />	dhicks	17	23	6	3	http://opengov.ideascale.com/akira/dtd/2759-4049	
2760-4049	Limit government use of classified satellite data	2009-05-21 00:00:00	The Problem: In 2007, the Bush administration decided to allow more federal agencies to use data from intelligence satellites, i.e., classified data. Nearly all federal agencies these days use satellite imagery, but non-classified imagery is adequate to meet most non-intel needs based on my experience as a GIS specialist at a federal homeland security agency. To oversee the distribution of that data, the Bush administration proposed to establish a new government entity that included no external oversight of potential privacy violations resulting from the new policy.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Any benefit of access to classified imagery at federal departments and agencies like USDA, EPA and HHS is offset by the negative consequences of incorporating the secrecy apparatus that must accompany classified information. Over time, "public" agencies will be transformed into intelligence agencies.<br /><br />Use of classified data is particularly problematic in terms of the proposed use for disaster mapping at DHS (and virtually all other federal agencies). The public needs to know the extent of structure damage, the location of flooded roads and of damaged bridges following a disaster. But, if DHS uses classified imagery as the base for its disaster maps, that information would not be available except to government officials with clearances. It would not be available even to emergency responders, like fire, police and medical personnel, if they do not have clearances.<br /><br />Another negative consequence is the additional cost of security clearances for the thousands of employees that potentially would handle classified map data - an unjustified burden on US taxpayers.</div><br />	deep_harm	-6	18	24	2	http://opengov.ideascale.com/akira/dtd/2760-4049	
2762-4049	Legalize Marijuana And Solve Many Tax Issues / Prison Issues	2009-05-21 00:00:00	To legalize marijuana would mean an end to the billions of wasted dollars fighting this "war on drugs". A war, that anyone who grew up in America and went to public schools, saw first hand was lost. Imagine taxation on an herb that has many positive potentials. It can be used to make food, clothes, rope, and hell, even money. To make it illegal costs far more money and it cuts out many potential benefits from it's legalization. Even dependency on cotton would be a thing of the past. So we should vote to end this prohibition, and give people their freedom back, a freedom removed roughly 90 years ago now. We could tax and control it much in the same way Alcohol is controlled. The mobsters lost their power in the 1930's when alcohol was legalized, so let's do the same to the Mexican cartels, the modern mobsters. Hemp For Victory!<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>We need to conserve our resources, lower crime, and find new resources, this does all three.</div><br />	gbtorsion	341	428	87	52	http://opengov.ideascale.com/akira/dtd/2762-4049	
2763-4049	Term limits for ALL politicians	2009-05-21 00:00:00	All politicians should be limited to two terms! Look at our Congress; we have some people in there who have never worked a day in their lives. They have been feeding at the public trough their entire lives. When they die, and that seems to be the only way that we can get rid of them, they always seem to have a family member who steps in to fill in for them!<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div> We have a dysfunctional Congress now, lets get rid of them after two terms and then we do not have to give them a retirement package, etc. Make them go on Social Security and Medicaid and live like the rest of us. Any pay that they receive , or benefits, should be voted on by the electorate! I have no respect for any of them and could not bring myself to call them "Honorable". They really should stop using that term when they are introduced, because they really are not!</div><br />	adainv	12	43	31	5	http://opengov.ideascale.com/akira/dtd/2763-4049	
2764-4049	Lobbyists	2009-05-21 00:00:00	This information may be somehow available somewhere, I don't know.<br />But since the lobbyists control Congress by their "contributions," it would be nice to find out easily what lobbyist, working for what interest group/corporation, is contributing how much money, to what Congressmen, regarding what legislation, pro or con.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Lobbyists are making a mockery of this democracy.</div><br />	tericks1362	179	200	21	14	http://opengov.ideascale.com/akira/dtd/2764-4049	
2765-4049	Webcast all legal trials and government meetings	2009-05-21 00:00:00	As much as possible open all government meetings to the public and all "public" legal trials by streaming them on the Web. Participants will know they are being watched and judges won't fall asleep or become rude. Citizen watchdogs will have ready access. Advocacy groups could archive and replay material of interest. The "public record" will not just be text in a storeroom but will also be available as on-demand video.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>This will put more sunshine into "sunshine laws", will keep participants more aware of their duty to the public, and will enable and interest more citizens in tracking government processes. Advocacy groups expenses will be reduced and they could cover more hearings. If interested parties could record material and archive it for on-demand access, news organizations would have less power to distort truth by selecting "sound-bites" out of context since everyone (citizens, political analysts, historians) could see what really went on.</div><br />	pulierml	29	41	12	1	http://opengov.ideascale.com/akira/dtd/2765-4049	
2767-4049	The World, As I, We, You May See It: The Strive For The Concept Of "Happiness" And How To Usefully Maintain It (Written In Resp	2009-05-21 00:00:00	The World, As I, We, You May See It: <br />The Strive For The Concept Of "Happiness" And How To Usefully Maintain It<br />(Written In Response To The Open Government Idea Brainstorm, May 22, 2009)<br />By<br />Ben Shannon<br /><br />The Intro:<br />Each of us Human Beings live our lives day to day striving to maintain a level of balance, of general happiness. Events can seemingly come and go like changing seasons. Some of us are in a position to move, to change, and to expand. But what about if that affects one's own level of personal comfort, even if the change could be wholly beneficial? The U.S. has become far too comfortable as a whole and we are slowly loosing grip of the reality of how harsh this world really is, we are becoming more concerned with television programs to entertain our children than real programs to actually help them survive the future. The general populous seems to want to imagine a romanticized world where every person is "happy". Happiness is a perception of one's own state of being, i.e. what makes me happy doesn't necessarily make you feel the same. Currently we have a government in the U.S. that, to us mostly laymen, seems like an unstoppable force. Whether you see it as a good force, or a bad force, a force it certainly is. A force that, currently, seems to thrive on the venom of vindictive action against an entity known as: "Terrorist". A terrorist is frankly, someone who causes a sense of terror to advance an agenda, i.e. 224 years ago when British colonist rebelled against their king, they too, where labeled terrorist. In this sense, any entity to attack a perceived enemy, is well, a terrorist. But that word carries some heavy weight, where does the wordâ&euro;&trade;s application stop? Just hearing the word brings up memories of 9/11, destruction & dismay, and a general sense of fear from the unknown. To those who the U.S. would deem terrorist, they see themselves as revolutionaries, martyrs, people who, in their eyes, are stopping a beast from invading their lands, their ideals, much as we would if presented with similar circumstance. Remember, people want happiness and comfort, and the majority will do what is needed to attain that goal and make it last. That is why most wars are fought, pure and simple. To obtain a state of happiness for one's self, a sense of security. For some rulers of history past this meant conquest for supreme power and to others the exact opposite through treaties for peace, but all outcomes where roughly the same. Eventually the fighting stopped and the ruling powers returned to their kingly affairs. Whether their interest was in their subjects or themselves, they no longer had to worry about a bordering state invading them and vice versa, instead they had a new source for free resources or they had a new trading partner, either way, both goals attempt to obtain comfort, stability, and a general sense of happiness.<br /><br />The Idea:<br />We need to move away from technological happiness, or as I view it, lulled comfort. While technology is an amazing, constantly evolving organism, it's application is severely limited due to it's effect on the environment and the masses. Why you may ask? Because a majority of technology relies too heavily on other factors i.e. electricity and other natural resources. Throughout history there have been searches to find perfect renewable resource such as the fabled Philosopher's stone, but all of these have turned up nothing. Nothing that could be generally applied. I purpose a co-existence with technology here in America. To where most people will equally know, for instance, the value of a home garden, or at least, have the ability to produce one if they so desired, next to knowledge of, say, what ABC has next fall for it's line up . The focus in this country should be how are we going to survive the next 100 years, not Mr. Obama or the next guy's term. General education of techniques that have been keeping people alive for the past 2,000 years, such as farming, building a shelter from the land, basic survival skills, etc. should be given serious consideration by state and federal governments and taught in public classes, for adults and children. Tax incentives should be given to folks who join up to teach. Now what if, but certainly hopefully not, something terrible happens, and as a result, our country breaks down, to the point where it is in utter chaos, such as the current situation in many areas of Iraq. What then? All those hours wasted with Grand Theft Auto and American Idol could have been used to further your own development. But don't get me wrong, entertainment is needed for our human mind, just in quantity. We need to find a balance between desire and necessity or else our future will not last that long if our only goals are the consumption of material goods to obtain a sense of "happiness". This is what addicts do, achieve that current "high", and then move to the next best thing. Our culture is very much in this addict mode, just look at how the media excitement is over new studio movies or a celebrity's new thing. These things embody what many people view as Happiness. We want to imagine, or romanticize about what it could be like if we were in the movie or if we were the celebrity. This is not reality, but a lulled state of being, to where one's cares leave the emotional realm and enter the material. A focus should be put on fellowship over ownership, Nature education over digital sedation. To learn survival skills and it's applications for the future can bring lasting happiness and security to any mind. To have the confidence to know that you have the skills at hand that at any moment, you could feed your family and not have to rely on loan notes we affectionately call money so you can go to a grocery store and buy what you could have harvested one's own self. Technology is not inherently evil, just widely misused, and now, is slowly numbing the populous to forget their roots and plan for their future. Move away from Facebook and put your face in a book on how to grow food, how to culture ground for use, or even how to paint, create, or to somehow further your life in anyway with the goal: for the good of all creatures of the Earth, because this will, of course, benefit mankind as a whole. Communal learning, cultural evolution, it's how people got to where we are today and what weâ&euro;&trade;ll need for tomorrow. The culture of America is becoming digital, it needs to return to the camp fire. We each have our part to bear in this life. What we do with it, in the end, only truly matters to the bearer.<br /><br /><br /><br />Why Is This Idea Important?<br /><br /><div>The ability for the common man to produce their own food, shelter, and well being through education of the land and the nature of our world is most important. These survival skills should be basic for all people. What happens if the economy breaks down and the Internet goes poof? All contact would be gone, chaos would ensue, and the dark ages would most certainly return. People need to stop solely relying on man-made devices and take some power back for themselves. Be prepared and be ready to survive, cause really, in the end, it can only help us. </div><br />	gbtorsion	-25	6	31	0	http://opengov.ideascale.com/akira/dtd/2767-4049	
2768-4049	The devil is in the details...	2009-05-21 00:00:00	I'd like to know more about the detailed decision-making criteria and processes underlying various government initiatives.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>We need to understand more about what is going on. That means we need the details.</div><br />	cat-samjas-0l9	1	12	11	0	http://opengov.ideascale.com/akira/dtd/2768-4049	
2769-4049	Information Sharing & Security	2009-05-21 00:00:00	Today's networks are so interconnected, it is becoming increasing difficult to define a network. Defending the information a network handles is even harder. Traditional methods are simply not able to keep up with the rapid growth of connectivity. New applications such as social networking have increased the complexity of information distribution across connected networks to the point that information cannot be protected by defending the hardware systems that handle the data.<br />A true cross-domain solution, one that protects data independent of hardware or distribution system and protects the data at all times, at rest or in transmission is critically needed for government operations.<br />This software solution must run in existing environments (UNIX, Linux, MS-Windows), requiring only everyday computing skills.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>This idea is important because it advances information security to the next generation and enhances information sharing by building protection into the data itself.<br /><br />It is then possible to share privacy and classfied data regardless of the communication means. For example, passing health records, financial records, streaming video, or etcetera types of data over open means such as Yahoo or YouTube.<br /><br />Should Ms. Beth Noveck find this of interest, please contact me for further information.</div><br />	eugenesquires	10	13	3	1	http://opengov.ideascale.com/akira/dtd/2769-4049	
2770-4049	Affirmative Obligation to Disclose	2009-05-21 00:00:00	Government should have an affirmative legal obligation to disclose information to the public in a timely manner, thereby expanding the presumption of openness. Our national public access laws are relatively recent in our history. Until 1966, with passage of FOIA, there really was no law giving the public any right to government information. For all its usefulness, FOIA is not a true right-to-know law. FOIA puts government in a passive role; the law is not triggered unless there is a public request. Under a national right-to-know law, the approach would be reversed. Federal agencies would have an affirmative obligation to disclose information, the public a passive role to review and use it. <br /><br />Agencies should be required to disclose newly collected electronic information holdings in a timely manner and justify in writing reasons for withholding information. Reasons for nondisclosure should be no more numerous than the current FOIA exemptions or responsibilities for national security classification.<br /><br />While it can be argued that this will put federal agencies on an endless treadmill, spending all their time making information publicly accessible instead of doing the work of the people, the reality is that it is increasingly easy to make electronic information - in all its formats - publicly accessible. Moreover, as discussed throughout this report, a functioning democracy requires an informed and active citizenry, which can be accelerated through affirmative dissemination of government information. Thus, this law would cover all information holdings - from spending information to regulatory actions to enforcement actions to directories of federal employees to e-mails to audio and video collections.<br /><br />- From the 21st Century RTK Agenda<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div></div><br />	21stCenturyRTK	72	83	11	1	http://opengov.ideascale.com/akira/dtd/2770-4049	
2772-4049	New Ideas, Goals, and Objectives	2009-05-21 00:00:00	New Ideas, Goals, and Objectives that radically invert historical priorities might help. Then reward and incent based on these new inverted objectives. Design (redesign and re-engineer) processes to support these new strategies. Train and coach and monitor progress that is aligned with the new process and strategic objectives. Understand, monitor, grow and change your culture to support your new, desired strategic direction. Don't monitor and measure everything - key variances only. Consider "Appreciative Inquiry" versus traditional methodology for strategic goal setting!<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>A new direction and methodology for setting strategy and goals.</div><br />	cat-samjas-0l9	-8	3	11	0	http://opengov.ideascale.com/akira/dtd/2772-4049	
2773-4049	Presidential Bill Signings	2009-05-21 00:00:00	Let's get rid of the president using multiple pens to sign every bill that comes before him. I may seem petty but it these times of tight budgets this obvious waste of money sends the wrong message.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Cuts obvious waste with absolutely no beneficial return for the taxpayer.</div><br />	govmail	-13	18	31	1	http://opengov.ideascale.com/akira/dtd/2773-4049	
2774-4049	Restore Our Republic	2009-05-21 00:00:00	Dismantle the de facto fascist state created under the fascist Bush regime and restore our republic with its democratic political process, the rule of law, our civil rights, and the separation of church and state.<br /><br />PS #1; The original definition of fascism by the Italian philosopher Giovanni Gentile is as follows: Fascism, a system of government that exercises a dictatorship of the extreme right, typically through the merging of state and business leadership, together with belligerent nationalism. <br /> <br />Giovanni Gentile's definition of fascism was the source for the definition of fascism in the American Heritage Dictionary of the English Language which is as follows: Fascism, a philosophy or system of government that advocates or exercises a dictatorship of the extreme right, typically through the merging of state and business leadership, together with an ideology of belligerent nationalism.<br /> <br />The definition of fascist in the American Heritage Dictionary of the English Language is as follows: Fascist, a person who advocates or practices fascism.<br /> <br />PS #2: The beauty of these two definitions of fascism is they directly tie fascism with its creator which is capitalism.<br /><br /><br /><br />Why Is This Idea Important?<br /><br /><div>If we do not dismantle our de facto fascist state very quickly we run the risk that in the very near future it will degenerate into a fascist military/police state.</div><br />	jpstolten	5	24	19	3	http://opengov.ideascale.com/akira/dtd/2774-4049	
2775-4049	Open Government and Right to Public Trial	2009-05-21 00:00:00	The US is holding prisoners at GITMO and numerous other dark detention sites in this country and elsewhere without charge, without access to attornies, without hope of trial or release. Many have been tortured. None of this is constitutional, moral, ethical, or consistent with American values. All of this is done in secrecy. The President has taken the Bush administration's policies even further by espousing the value of "prolonged detention" for possible crimes that might be committed, not what has been committed. There is no way to "reshape standards," or to create "a legitimate legal framework" for prolonged or indefinite detention without violating the constitution and the rights of human beings.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>I want to be proud to be an American. I believed that President Obama would end the Bush administration's excessive presidential power grabs. Now I fear he is going to take the powers Bush stole and go even further. This is the direction of tyranny.</div><br />	kateahunter	22	39	17	1	http://opengov.ideascale.com/akira/dtd/2775-4049	
2776-4049	Open contract jobs to everyone, including the American people who are unemployed	2009-05-21 00:00:00	There are so many talented - and unemployed - people who need work. It is a shame it is so difficult for them to obtain work from, by, and with the government. How many individuals could be helped if some of these initiatives were opened up to teams of American citizens, each with unique competencies. That is, have the government create team leaders in a way, of very specific bite sized initiatives. Then bring in unemployed American talent to work on these diverse teams. Example: Digitizing medical records in an area. You could put technical writer, trainers, designers to work in a given geographic location. The team lead would ensure a strategic direction and progress. Make it easy to draw upon the talents of the unemployed. It might not be a permanent job, but it would provide some income. Simplify and open up the "bidding" process to regular Americans looking for work. (Where do I sign up?)<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Jobs, jobs, jobs.</div><br />	cat-samjas-0l9	16	26	10	0	http://opengov.ideascale.com/akira/dtd/2776-4049	
2777-4049	Online reading and review of legislation	2009-05-21 00:00:00	For every bill that is introduced, an expert should review the bill in an online video. The expert should simply go through the bill and explain it in clear terms, while the text of the bill is displayed alongside and synchronized to the video.<br /><br />The video should be indexed so that individual areas of the bill's explanation can be found and reviewed.<br /><br />Also, these sections of video (which can be accompanied with a synchronized version of the bill) can be tied to videos of House/Senate discussions concerning the bill.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Without actually reading the bill, it's nearly impossible to tell the nature of the bill's provisions from the rhetoric that happens in the house and senate. It might be a good practice to have accountability for statements tied to a flat, non-political reading/interpretation of the bill.</div><br />	steve	70	81	11	5	http://opengov.ideascale.com/akira/dtd/2777-4049	
2778-4049	Release government-developed unclassified software as open source software, by default	2009-05-21 00:00:00	By default, unclassified software which the government paid to develop should be released to the public as open source software (unless there's a good reason not to).<br /><br />I'm sure there will need to be exceptions. There would need to be some sort of guidelines to figure out when to grant those exceptions, and those guidelines should be developed though lively discussion. Most obviously, if it's a special ingredient necessary for national security, then it should be classified and not revealed in any form. Export controls would also apply. But the exceptions should be that: Exceptions.<br /><br /><br /><br />Why Is This Idea Important?<br /><br /><div>If "we the people" paid to develop it, then "we the people" should get it! I think this idea fits into the good government ideal of data transparency; after all, software is data. Currently, we have a lot of waste and unnecessary costs due to loss, re-development, and/or government-created monopolies. The government is not a venture capitalist (VC); people who need a VC should go to a VC.<br /><br />I think this idea easily fits into the broader ideas of transparency and open government, including the Memorandum on Transparency and Open Government. Indeed, there's a long history of U.S. laws specifically set up to make data available. Most obviously, Freedom on information act (FOIA) requests make it possible to extract information from the U.S. government. 17 USC 105 and 17 USC 101 prevents the U.S. government from claiming U.S. copyright on a work "prepared by an officer or employee of the United States Government as part of that person's official duties". So this idea would be an extension of what's already gone on.<br /><br />Think of all the advantages if software developed by U.S.-funded research could be reused by other research projects and commercial firms. For example, imagine if other researchers could simply extend previous work by modifying previously-developed software, instead of re-building yet another version from scratch. Anyone could take commercialize the research making it more likely that it would be commercialized instead of being lost in the archives shown at the end of Raiders of the Lost Ark. Some argue that giving sole rights is the only way to commercialization, but that's just not true; open source software is commercial software, so this is simply a different and fairer path to commercialization. In contrast, the current system inhibits all kinds of technical progress; Biere's "The Evolution from LIMMAT to NANOSAT" (Apr 2004) found that "important details are often omitted in [research] publications and can only be extracted from source code... [Making source code available] is as important to the advancement of the field as publications".<br /><br />If this happened, I envision a two-stage process: (1) release of the software as an archive (so it can be downloaded), and (2) some of it will get picked up and used to start an active OSS project. The second stage might not happen for many years after the first, and that's okay. Some will ask "how will people find it", but I think that's the wrong question. There are many commercial search engines that can find code, but they can only find stuff that's web-accessible; let's give them something to find.<br /></div><br />	dwheeler	82	96	14	3	http://opengov.ideascale.com/akira/dtd/2778-4049	
2779-4049	Tell the truth	2009-05-21 00:00:00	Tell the truth.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Everybody is so busy outsmarting everybody that nobody knows what anybody is doing. If someone starts telling the truth, it will unravel the fabric of anxiety that currently is our (leaking) ship of state--going to sea in a crocheted potholder.<br /><br />I would also suggest you establish a category here called something like "moral and cultural"--"public service ethic"--something like that.<br /><br /></div><br />	chrisrushlau	50	61	11	5	http://opengov.ideascale.com/akira/dtd/2779-4049	
2780-4049	Reengineer USAJOBS (versus only Improve or Innovate the process)	2009-05-21 00:00:00	I'd like the process to look like the following:<br /><br />I see a job to which I'd like to apply. I am new to the site.<br />I sign in. I upload my resume. I complete in open form a paragraph on why I feel I am a strong candidate. I click apply. Done.<br />I get feedback automatically on the hiring process (reviewing resumes, narrowing resumes, selected two or three and you are or are not one of them, hired-feedback on why you were NOT chosen for an interview or hired along with suggestions on what I might do to improve). Again...all automated...email status updates, if I elect to see them.<br />I see the next job to which I'd like to apply. I choose my existing resume or send another. I write a paragraph on why I am a good fit. Apply. Done.<br />These LONG essays and redundant questions over and over on if when and why I've ever worked for the government should not appear, especially if I haven't. Then the end of the process should not tell me things like, be sure to send all forms necessary or you won't be considered, or don't send forms you dont need to send or you wont be considered, etc. Just tell me! Am I done or NOT based on my status of never having worked for the government! Just keep me in the loop (electronically) on the application process, please. Tell me why you didn't select me. Tell me what I need to improve to get selected. Tell me who I can call with questions. (Some times you do this one now, I should say. Do this consistently for all government agencies and departments. Why the duplication?)<br /><br />If you do these things you will not only improve USA JOBS.gov, but many of the private application HR processes as well!<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Streamlining the government, easing the application process, getting rid of excess time and money tracking duplicate information, etc.</div><br />	cat-samjas-0l9	43	47	4	5	http://opengov.ideascale.com/akira/dtd/2780-4049	
2781-4049	US government crime !	2009-05-21 00:00:00	Let's solve US government crime as soon as possible.<br />Those are very harmful for the USA.<br />Keep the international rules and laws.<br /><br /><br /><br />Why Is This Idea Important?<br /><br /><div>Crime</div><br />	jhyang3	-19	11	30	3	http://opengov.ideascale.com/akira/dtd/2781-4049	
2782-4049	Robert's Rules of Order online	2009-05-21 00:00:00	We desperately need Robert's Rule of Order* specifically adopted for online use so that important deliberative meetings now being held by government officials at a time and place certain, can be attended by the general public online regardless of where they happen to live and at any time.<br /><br />The key to direct participation in government by we, the people, is the adaptation of Robert's Rule of Order for use online. <br /><br />Please give me your support for this important innovation that will dramatically increase participatory government by the public. How cool is that for a democracy?<br />ex animo<br />davidfarrar<br />* At present there is no Robert's Rules of Order specifically designed for online use.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Just think how much citizens could participate in creating better government if the governmental officials meetings were held online to allow the "Public" to have an opportunity to have their input added to the record. This would mean citizens who didn't happen to live in the area where these important decisions were being made that effected them, could now participate online from anywhere at any time.<br /><br />All we need is Robert's Rules adopted specifically for online use, and our democracy will never be the same.<br /><br /><br /><br />Please give me your support. Thank you.<br /><br /><br /><br />ex animo<br /><br />davidfarrar<br /><br /></div><br />	david.is.farrar	-14	11	25	6	http://opengov.ideascale.com/akira/dtd/2782-4049	
2783-4049	Better regulate Microsoft (and other large companies) SECURITY UPDATES	2009-05-21 00:00:00	OK. The corporate world will disagree, and private citizens might agree.<br />As an individual, it drives me crazy to have a virus or hole left unplugged for a month, until Microsoft (sorry, hate to pick on that company, but they are dominant) releases security updates and fixes to companies first, then to individuals later. I, as an individual, would like the option to have MS release the update to me as soon as it becomes available. More than once I have spent hours and days struggling to fix a PC issue, only to find it resolved by a fix a month later! I want an OPT IN option for security fixes that doesn't require me to wait or waste my time. I am one person. How many others have struggled with PC issues (including the government by the way), waiting for a fix - sometimes waiting for nothing more than a predefined date.<br /><br />Also, I'd like better and more complete information instead of secrecy around problems when they occur. Just these past two weeks with the latest big virus problem, there were several well known sites not behaving normally. For a few days I thought it was my PC.<br /><br />Policies like these cost all of us time, money (buying fixes and PC hardware and software we might not need), and energy. We need more open and timely communication around fixes and issues.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Time, money, and energy is wasted.</div><br />	cat-samjas-0l9	-16	6	22	1	http://opengov.ideascale.com/akira/dtd/2783-4049	
2784-4049	A Comment on the New Credit Card Bill...	2009-05-21 00:00:00	I only hope it addresses an issue close to me, one I ran into with a card called "CareCredit." After incurring and paying off early a several thousand dollar vet bill for my cat, with the exception of 300.00 out of nearly 6K, the credit card company first erroneously charged me interest after a few months when it should have been free for a year, and worse, much worse, I learned they charged me interest on the 5000.00 (+) I had paid off seven months early! Before that happened, I didn't even know credit card companies were charging interest on amounts paid off, when the balance was not paid in full. (5700 was paid of 6000.00. 300.00 remained. I was charged interest on 6000.00, as though I had never paid anything off!) PLEASE TELL ME THIS NEW BILL STOPS THIS ILLEGAL PRACTICE! So far, just from scanning details, I haven't seen anything specific that addresses this practice. Also, please tell me this goes into effect IMMEDIATELY (not a year from now).<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>It hurts anyone holding a credit card based on these practices.</div><br />	cat-samjas-0l9	12	21	9	0	http://opengov.ideascale.com/akira/dtd/2784-4049	
